ind,date,tbstat,tbstat.yng,tbstat.ad,sex,age.known,age,season,year,socg,weight,toothwear,condition,body.length,temp,dam,young,age.sq,age.cb,unique ,body.length.est,smi
001A,20/05/2014,0,0,NA,1,0,0,Spring,2014,CEDAR,2.6,0,FAIR,58,37.3,033K,1,0,0,001A41779,58,9.11086165
001B,25/01/2006,0,NA,NA,2,NA,4.066,Winter,2006,PARK_MILL,6.9,0.25,GOOD,80,37.2,NA,NA,16.532,67.221,001B38742,80,6.538545094
001B,24/05/2006,0,NA,NA,2,NA,4.066,Spring,2006,PARK_MILL,7.9,0.25,GOOD,84,37.9,NA,NA,16.532,67.221,001B38861,84,6.138892396
001B,05/05/2009,0,NA,NA,2,NA,4.066,Spring,2009,PARK_MILL,8,0.75,POOR,86.5,38.4,NA,NA,16.532,67.221,001B39938,86.5,5.517685446
001E,21/05/2013,1,1,NA,1,0,0,Spring,2013,WEST,2.8,0,FAIR,59,38.1,NA,1,0,0,001E41415,59,9.152787475
001F,19/01/2010,0,NA,NA,2,NA,4.066,Winter,2010,COLLIERS_WOOD,8.3,0.25,GOOD,80,36.9,NA,NA,16.532,67.221,001F40197,80,7.865206418
001F,24/05/2010,1,NA,NA,2,NA,4.066,Spring,2010,COLLIERS_WOOD,7.1,0.25,FAIR,81,38.4,NA,NA,16.532,67.221,001F40322,81,6.396623166
001F,21/09/2010,1,NA,NA,2,NA,4.066,Autumn,2010,COLLIERS_WOOD,8.4,0.25,GOOD,83,37.9,NA,NA,16.532,67.221,001F40442,83,6.853202453
001G,08/01/2003,0,NA,NA,2,NA,4.066,Winter,2003,FIELD_FARM,11.7,0.5,VGOOD,87.5,37.9,NA,NA,16.532,67.221,001G37629,87.5,7.701093614
001K,24/01/2012,0,NA,NA,2,NA,4.066,Winter,2012,BREAKHEART,7.8,0.25,GOOD,80.5,37.3,NA,NA,16.532,67.221,001K40932,80.5,7.206472936
001K,27/06/2012,0,NA,NA,2,NA,4.066,Summer,2012,BREAKHEART,7.7,0.25,FAIR,85,38.5,NA,NA,16.532,67.221,001K41087,85,5.702333675
001K,13/08/2013,1,NA,NA,2,NA,4.066,Summer,2013,BREAKHEART,7.7,0.25,FAIR,84,37.9,NA,NA,16.532,67.221,001K41499,84,5.983477398
001K,03/06/2014,1,NA,NA,2,NA,4.066,Summer,2014,YEW,8.1,0.75,POOR,84,37.7,NA,NA,16.532,67.221,001K41793,84,6.294307393
001L,25/01/2011,1,NA,NA,1,NA,4.066,Winter,2011,INCHBROOK,7.4,0.25,GOOD,76,38.1,NA,NA,16.532,67.221,001L40568,76,8.638805063
001L,26/06/2012,1,NA,NA,1,NA,4.066,Summer,2012,INCHBROOK,7.1,0.25,GOOD,78,38.5,NA,NA,16.532,67.221,001L41086,78,7.457694245
001L,13/08/2013,1,NA,NA,1,NA,4.066,Summer,2013,INCHBROOK,7,0.25,GOOD,76,38.2,NA,NA,16.532,67.221,001L41499,76,8.171842627
001L,10/09/2014,1,NA,NA,1,NA,4.066,Autumn,2014,INCHBROOK,8.1,0.5,GOOD,77,38.4,NA,NA,16.532,67.221,001L41892,77,8.966442284
001N,27/01/2009,1,NA,NA,2,NA,4.066,Winter,2009,CEDAR,7.1,0.25,GOOD,79,37.5,NA,NA,16.532,67.221,001N39840,79,7.08118553
001N,23/03/2009,NA,NA,NA,2,NA,4.066,Spring,2009,NA,5,NA,POOR,NA,NA,NA,NA,16.532,67.221,001N39895,79,#VALUE!
001P,08/01/2008,1,NA,NA,1,NA,4.066,Winter,2008,OLD_OAK,7.9,0.25,VGOOD,82,38.6,NA,NA,16.532,67.221,001P39455,82,6.770942083
001P,03/06/2008,1,NA,NA,1,NA,4.066,Summer,2008,OLD_OAK,8.2,0.25,GOOD,85,38.7,NA,NA,16.532,67.221,001P39602,85,6.072615082
001P,20/08/2008,1,NA,NA,1,NA,4.066,Summer,2008,TRACKSIDE,10.1,0.25,VGOOD,85,39.1,NA,NA,16.532,67.221,001P39680,85,7.47968443
001P,04/10/2011,1,NA,NA,1,NA,4.066,Autumn,2011,NETTLE,11.4,0.5,VGOOD,84,38.6,NA,NA,16.532,67.221,001P40820,84,8.858654849
001P,14/08/2012,1,NA,NA,1,NA,4.066,Summer,2012,SCOTLAND_BANK,7.8,0.5,GOOD,86,39.1,NA,NA,16.532,67.221,001P41135,86,5.508076178
001P,16/10/2012,1,NA,NA,1,NA,4.066,Autumn,2012,NETTLE,12.5,0.75,VGOOD,85,38.8,NA,NA,16.532,67.221,001P41198,85,9.257035186
001P,05/06/2013,1,NA,NA,1,NA,4.066,Summer,2013,YEW,5.9,1,POOR,83,38.6,NA,NA,16.532,67.221,001P41430,83,4.813558866
001P,23/10/2013,1,NA,NA,1,NA,4.066,Autumn,2013,OLD_OAK,8.1,0.5,FAIR,81,38.4,NA,NA,16.532,67.221,001P41570,81,7.297556006
001P,24/06/2014,2,NA,NA,1,NA,4.066,Summer,2014,OLD_OAK,6.7,1,POOR,84,38.2,NA,NA,16.532,67.221,001P41814,84,5.206402411
001R,13/01/2004,0,NA,NA,2,NA,4.066,Winter,2004,WEST,12.1,NA,VERY_GOOD,87,37.2,NA,NA,16.532,67.221,001R37999,87,8.152164773
001R,15/03/2004,0,NA,NA,2,NA,4.066,Spring,2004,NA,8.9,0,FAIR,NA,NA,NA,NA,16.532,67.221,001R38061,87,#VALUE!
001W,19/01/2005,1,NA,NA,1,NA,4.066,Winter,2005,WOODRUSH,9.2,0.25,GOOD,82,39,NA,NA,16.532,67.221,001W38371,82,7.885147742
001W,07/06/2005,1,NA,NA,1,NA,4.066,Summer,2005,WOODRUSH,8.5,0.25,VGOOD,82,38.5,NA,NA,16.532,67.221,001W38510,82,7.285190849
001Y,09/01/2007,0,NA,NA,2,NA,4.066,Winter,2007,WOODRUSH,11.6,0.25,VGOOD,87,38.4,NA,NA,16.532,67.221,001Y39091,87,7.81529846
002A,20/05/2014,2,2,NA,1,0,0,Spring,2014,CEDAR,2.8,0,FAIR,59,39,NA,1,0,0,002A41779,59,9.152787475
002A,12/08/2014,2,2,NA,1,0,0,Summer,2014,CEDAR,4,0,FAIR,70,39.4,NA,1,0,0,002A41863,70,6.524150776
002A,23/09/2014,2,2,NA,1,0,0,Autumn,2014,CEDAR,5.9,0,FAIR,76,38.9,NA,1,0,0,002A41905,76,6.887695928
002A,05/11/2014,2,2,NA,1,0,0,Autumn,2014,BREAKHEART,7.7,0,GOOD,78,38.7,NA,1,0,0,002A41948,78,8.087921928
002B,09/05/2006,1,1,NA,1,0,0,Spring,2006,HEDGE,3.1,0,GOOD,61,37.1,Q008,1,0,0,002B38846,61,8.848732094
002B,18/07/2006,1,1,NA,1,0,0,Summer,2006,HEDGE,5.6,0,GOOD,76.5,37.8,Q008,1,0,0,002B38916,76.5,6.365446167
002B,25/10/2006,1,1,NA,1,0,0,Autumn,2006,HEDGE,10.4,0,VGOOD,88,38.9,Q008,1,0,0,002B39015,88,6.688619835
002B,12/12/2006,1,1,NA,1,0,0,Winter,2006,HEDGE,11.1,0,VGOOD,87.5,38.8,Q008,1,0,0,002B39063,87.5,7.306165736
002B,08/05/2007,1,1,NA,1,1,1,Spring,2007,HEDGE,10.7,0.25,VGOOD,90,38.2,Q008,1,1,1,002B39210,90,6.280544172
002B,07/05/2008,1,NA,1,1,2,2,Spring,2008,HEDGE,10.9,0.25,VGOOD,90,38.4,Q008,2,4,8,002B39575,90,6.397937521
002E,22/05/2013,NA,NA,NA,1,0,0,Spring,2013,BEECH,2.4,0,FAIR,57,38.3,034L,1,0,0,002E41416,57,9.026371115
002E,16/07/2013,2,2,NA,1,0,0,Summer,2013,BEECH,3.7,0,POOR,68.5,38.7,034L,1,0,0,002E41471,68.5,6.590561907
002E,24/09/2013,2,2,NA,1,0,0,Autumn,2013,BEECH,5.1,0.25,FAIR,75,39.4,034L,1,0,0,002E41541,75,6.283255803
002E,12/08/2014,2,2,NA,1,1,1,Summer,2014,BEECH,3.4,0.25,FAIR,80,38.4,034L,1,1,1,002E41863,80,3.221891786
002F,26/01/2010,0,NA,NA,1,NA,4.066,Winter,2010,INCHBROOK,8.5,0,VGOOD,79,38.5,NA,NA,16.532,67.221,002F40204,79,8.477475634
002F,16/06/2010,1,NA,NA,1,NA,4.066,Summer,2010,INCHBROOK,7.1,0.25,GOOD,80,38.4,NA,NA,16.532,67.221,002F40345,80,6.728068141
002F,30/11/2010,NA,NA,NA,1,NA,4.066,Autumn,2010,INCHBROOK,10.7,0,VGOOD,80,36,NA,NA,16.532,67.221,002F40512,80,10.13948297
002F,27/06/2012,2,NA,NA,1,NA,4.066,Summer,2012,INCHBROOK,7.4,0.25,FAIR,80,38.3,NA,NA,16.532,67.221,002F41087,80,7.01235271
002G,22/01/2003,0,NA,NA,2,NA,4.066,Winter,2003,OLD_OAK,11.6,NA,GOOD,86,37.9,NA,NA,16.532,67.221,002G37643,86,8.191497906
002G,01/02/2005,0,NA,NA,2,NA,4.066,Winter,2005,OLD_OAK,10.1,NA,GOOD,85,38.2,NA,NA,16.532,67.221,002G38384,85,7.47968443
002G,16/08/2005,0,NA,NA,2,NA,4.066,Summer,2005,OLD_OAK,10.7,NA,VERY_GOOD,86.5,37.4,NA,NA,16.532,67.221,002G38580,86.5,7.379904284
002G,11/10/2005,0,NA,NA,2,NA,4.066,Autumn,2005,OLD_OAK,10.7,NA,GOOD,86,38,NA,NA,16.532,67.221,002G38636,86,7.555950655
002G,06/06/2007,0,NA,NA,2,NA,4.066,Summer,2007,NETTLE,7.9,0.75,FAIR,84,37.9,NA,NA,16.532,67.221,002G39239,84,6.138892396
002G,11/09/2007,0,NA,NA,2,NA,4.066,Autumn,2007,NETTLE,6.5,1,POOR,83,36.4,NA,NA,16.532,67.221,002G39336,83,5.303073327
002K,24/01/2012,0,NA,NA,2,NA,4.066,Winter,2012,BREAKHEART,9.1,0.75,FAIR,88.5,36.7,NA,NA,16.532,67.221,002K40932,88.5,5.719238587
002K,26/06/2012,0,NA,NA,2,NA,4.066,Summer,2012,BREAKHEART,8.7,0.75,GOOD,87,37.2,NA,NA,16.532,67.221,002K41086,87,5.861473845
002K,18/06/2013,0,NA,NA,2,NA,4.066,Summer,2013,BREAKHEART,7.9,0.5,POOR,85,37.2,NA,NA,16.532,67.221,002K41443,85,5.850446238
002K,28/01/2014,0,NA,NA,2,NA,4.066,Winter,2014,BREAKHEART,9.6,0.75,GOOD,87,37.6,NA,NA,16.532,67.221,002K41667,87,6.467833208
002K,04/11/2014,1,NA,NA,2,NA,4.066,Autumn,2014,BREAKHEART,11.8,0.75,VGOOD,86,37.8,NA,NA,16.532,67.221,002K41947,86,8.332730629
002L,25/01/2011,1,NA,NA,2,NA,4.066,Winter,2011,WINDSOR_EDGE,8.3,0.25,FAIR,85,38.4,NA,NA,16.532,67.221,002L40568,85,6.146671364
002N,19/05/2009,0,0,NA,2,0,0,Spring,2009,TOP_SETT,3.4,0,GOOD,63,38,055B,1,0,0,002N39952,63,8.511808339
002N,27/10/2009,0,0,NA,2,0,0,Autumn,2009,YEW,6.3,0,FAIR,77,37.8,055B,1,0,0,002N40113,77,6.973899554
002N,24/05/2010,0,0,NA,2,1,1,Spring,2010,TOP_SETT,8.2,0.25,FAIR,85,38.2,055B,1,1,1,002N40322,85,6.072615082
002N,21/09/2010,0,0,NA,2,1,1,Autumn,2010,TOP_SETT,10.2,0.25,VGOOD,85,38,055B,1,1,1,002N40442,85,7.553740712
002N,11/01/2011,0,NA,0,2,2,2,Winter,2011,TOP_SETT,10.6,0.5,GOOD,85,36.8,055B,2,4,8,002N40554,85,7.849965838
002N,17/05/2011,0,NA,0,2,2,2,Spring,2011,WYCH_ELM,8.1,0.25,FAIR,84,37.6,055B,2,4,8,002N40680,84,6.294307393
002N,12/07/2011,0,NA,0,2,2,2,Summer,2011,WYCH_ELM,7.9,0.25,FAIR,84,38,055B,2,4,8,002N40736,84,6.138892396
002N,20/09/2011,0,NA,0,2,2,2,Autumn,2011,WYCH_ELM,9.2,0.25,GOOD,85.5,38.4,055B,2,4,8,002N40806,85.5,6.652597464
002P,06/05/2008,0,0,NA,1,0,0,Spring,2008,ARTHURS,2.9,0,GOOD,59,37.2,101W,1,0,0,002P39574,59,9.479672742
002P,23/07/2008,0,0,NA,1,0,0,Summer,2008,ARTHURS,4.3,0,GOOD,70,38.9,101W,1,0,0,002P39652,70,7.013462084
002P,21/10/2008,1,1,NA,1,0,0,Autumn,2008,ARTHURS,8.5,0.25,GOOD,79.5,38.4,101W,1,0,0,002P39742,79.5,8.262734989
002P,02/06/2009,1,1,NA,1,1,1,Summer,2009,ARTHURS,7.1,0.25,GOOD,82,38.6,101W,1,1,1,002P39966,82,6.085277062
002P,21/07/2009,1,1,NA,1,1,1,Summer,2009,ARTHURS,7.6,0.25,FAIR,83.5,38.7,101W,1,1,1,002P40015,83.5,6.050907738
002P,11/05/2010,1,NA,1,1,2,2,Spring,2010,ARTHURS,1.1,0.25,GOOD,83,37.9,101W,2,4,8,002P40309,83,0.897443178
002P,30/05/2012,1,NA,1,1,4,4,Spring,2012,ARTHURS,7.4,0.75,FAIR,83.5,37.5,101W,2,16,64,002P41059,83.5,5.891673324
002R,14/01/2004,0,NA,NA,1,NA,4.066,Winter,2004,LARCH,10,NA,VERY_GOOD,83,38.1,NA,NA,16.532,67.221,002R38000,83,8.158574349
002W,04/05/2005,0,NA,NA,1,NA,4.066,Spring,2005,PEGLARS,6.8,NA,FAIR,80,37.2,NA,NA,16.532,67.221,002W38476,80,6.443783571
002Y,09/01/2007,0,NA,NA,1,NA,4.066,Winter,2007,YEW,7.8,0.25,GOOD,80,39.2,NA,NA,16.532,67.221,002Y39091,80,7.391398802
002Y,22/05/2007,0,NA,NA,1,NA,4.066,Spring,2007,TOP_SETT,6.5,0.25,FAIR,81,37.8,NA,NA,16.532,67.221,002Y39224,81,5.856063462
002Y,18/05/2011,0,NA,NA,1,NA,4.066,Spring,2011,TOP_SETT,6.8,0.5,FAIR,81,37.9,NA,NA,16.532,67.221,002Y40681,81,6.126343314
003A,20/05/2014,0,0,NA,1,0,0,Spring,2014,CEDAR,2.8,0,FAIR,60,36,NA,1,0,0,003A41779,60,8.548109035
003A,12/08/2014,0,0,NA,1,0,0,Summer,2014,CEDAR,4.2,0,FAIR,70,38.7,NA,1,0,0,003A41863,70,6.850358314
003A,23/09/2014,0,0,NA,1,0,0,Autumn,2014,CEDAR,5.2,0,GOOD,75,38.4,NA,1,0,0,003A41905,75,6.406456897
003B,09/05/2006,0,0,NA,1,0,0,Spring,2006,LARCH,3.2,0,FAIR,61,36.6,050G,1,0,0,003B38846,61,9.134175065
003B,18/07/2006,0,0,NA,1,0,0,Summer,2006,LARCH,4.2,0,FAIR,70.5,37.8,050G,1,0,0,003B38916,70.5,6.654922659
003B,24/10/2006,1,1,NA,1,0,0,Autumn,2006,LARCH,7,0.25,GOOD,68,38.9,050G,1,0,0,003B39014,68,12.84568885
003B,09/05/2007,2,2,NA,1,1,1,Spring,2007,LARCH,6.7,0.25,GOOD,79,38.4,050G,1,1,1,003B39211,79,6.6822455
003B,31/07/2007,3,3,NA,1,1,1,Summer,2007,LARCH,5.5,0.25,POOR,79.5,37.6,050G,1,1,1,003B39294,79.5,5.346475581
003E,22/05/2013,0,0,NA,1,0,0,Spring,2013,BEECH,2.5,0,FAIR,59,36.1,NA,1,0,0,003E41416,59,8.172131674
003E,16/07/2013,2,2,NA,1,0,0,Summer,2013,BEECH,3.8,0,FAIR,68,38.5,NA,1,0,0,003E41471,68,6.97337395
003E,24/09/2013,2,2,NA,1,0,0,Autumn,2013,BEECH,5.7,0.25,FAIR,79.5,38.7,NA,1,0,0,003E41541,79.5,5.540892875
003E,20/05/2014,2,2,NA,1,1,1,Spring,2014,BEECH,8,0.25,GOOD,86,38.7,NA,1,1,1,003E41779,86,5.649308901
003E,23/09/2014,2,2,NA,1,1,1,Autumn,2014,BEECH,8.6,0.25,GOOD,86.5,38.3,NA,1,1,1,003E41905,86.5,5.931511855
003F,11/05/2010,0,NA,NA,2,NA,4.066,Spring,2010,JACKS_MIREY,8.5,0.25,FAIR,81,38.8,NA,NA,16.532,67.221,003F40309,81,7.657929142
003G,13/05/2003,0,0,NA,1,0,0,Spring,2003,FIELD_FARM,3.2,0,GOOD,64,36.3,NA,1,0,0,003G37754,64,7.514143208
003G,05/08/2003,0,0,NA,1,0,0,Summer,2003,FIELD_FARM,5.4,0,GOOD,76.5,38.2,NA,1,0,0,003G37838,76.5,6.138108803
003G,28/10/2003,0,0,NA,1,0,0,Autumn,2003,FIELD_FARM,7,0,GOOD,80,37.8,NA,1,0,0,003G37922,80,6.633306618
003G,13/01/2004,0,0,NA,1,1,1,Winter,2004,FIELD_FARM,9.3,0.25,GOOD,83,38.9,NA,1,1,1,003G37999,83,7.587474144
003G,26/05/2004,0,0,NA,1,1,1,Spring,2004,FIELD_FARM,8.5,0.25,GOOD,86,38.5,NA,1,1,1,003G38133,86,6.002390707
003K,29/05/2012,0,0,NA,2,0,0,Spring,2012,BEECH,3.7,0,FAIR,66,36.4,043P,1,0,0,003K41058,66,7.666283694
003L,25/01/2011,1,1,NA,2,0,0,Winter,2011,NA,NA,NA,NA,NA,NA,NA,1,0,0,003L40568,NA,#VALUE!
003N,19/05/2009,0,0,NA,1,0,0,Spring,2009,TOP_SETT,2.9,0,GOOD,59,37.8,055B,1,0,0,003N39952,59,9.479672742
003N,27/10/2009,1,1,NA,1,0,0,Autumn,2009,YEW,6,0,FAIR,74,38,055B,1,0,0,003N40113,74,7.806788791
003N,24/05/2010,1,1,NA,1,1,1,Spring,2010,TOP_SETT,6,0.25,FAIR,78.5,38.4,055B,1,1,1,003N40322,78.5,6.140621787
003N,21/09/2010,3,3,NA,1,1,1,Autumn,2010,TOP_SETT,6.6,0.25,POOR,81,37.8,055B,1,1,1,003N40442,81,5.946156746
003N,16/11/2010,3,3,NA,1,1,1,Autumn,2010,TOP_SETT,8.8,0.25,GOOD,80,37.5,055B,1,1,1,003N40498,80,8.339014034
003N,11/01/2011,3,NA,3,1,2,2,Winter,2011,TOP_SETT,7.6,0.25,FAIR,80,37.1,055B,2,4,8,003N40554,80,7.201875756
003N,17/05/2011,3,NA,3,1,2,2,Spring,2011,TOP_SETT,7.3,0.25,FAIR,79.5,37.7,055B,2,4,8,003N40680,79.5,7.096231226
003N,12/07/2011,3,NA,3,1,2,2,Summer,2011,TOP_SETT,7.6,0.25,GOOD,81,37.9,055B,2,4,8,003N40736,81,6.847089586
003N,20/09/2011,3,NA,3,1,2,2,Autumn,2011,TOP_SETT,8.1,0.25,GOOD,80,38,055B,2,4,8,003N40806,80,7.675683372
003N,13/06/2012,3,NA,3,1,3,3,Summer,2012,TOP_SETT,6.3,0.5,POOR,80,37.6,055B,2,9,27,003N41073,80,5.969975956
003N,12/07/2012,NA,NA,NA,1,3,3,Summer,2012,NA,5.5,NA,FAIR,NA,NA,055B,2,9,27,003N41102,80.3,#VALUE!
003P,06/05/2008,1,1,NA,1,0,0,Spring,2008,HEDGE,3,0,GOOD,58,37.2,NA,1,0,0,003P39574,58,10.51253267
003P,23/07/2008,1,1,NA,1,0,0,Summer,2008,HEDGE,3.5,0,FAIR,66,37.2,NA,1,0,0,003P39652,66,7.251889981
003P,21/10/2008,1,1,NA,1,0,0,Autumn,2008,HEDGE,7.8,0,GOOD,78,38.4,NA,1,0,0,003P39742,78,8.192959875
003P,09/12/2008,1,1,NA,1,0,0,Winter,2008,HEDGE,8.3,0.25,GOOD,78,37.3,NA,1,0,0,003P39791,78,8.71814961
003R,20/01/2004,0,NA,NA,1,NA,4.066,Winter,2004,TOP_SETT,10.1,NA,NA,82,38,NA,NA,16.532,67.221,003R38006,82,8.656520891
003W,04/05/2005,0,NA,NA,1,NA,4.066,Spring,2005,HOGARTHS,8.6,0.25,GOOD,83.5,38.2,NA,NA,16.532,67.221,003W38476,83.5,6.847079809
003Y,30/01/2007,NA,NA,NA,1,NA,4.066,Winter,2007,OLD_OAK,7.6,0.25,FAIR,81.5,38,NA,NA,16.532,67.221,003Y39112,81.5,6.677863968
004A,21/05/2014,0,0,NA,1,0,0,Spring,2014,ARTHURS,3.1,0,GOOD,65,38,058Y,1,0,0,004A41780,65,6.834535241
004A,12/08/2014,0,0,NA,1,0,0,Summer,2014,ARTHURS,6.5,0.25,GOOD,81,39.4,058Y,1,0,0,004A41863,81,5.856063462
004B,09/05/2006,0,0,NA,2,0,0,Spring,2006,LARCH,3.1,0,GOOD,59,37.4,050G,1,0,0,004B38846,59,10.13344328
004B,18/07/2006,0,0,NA,2,0,0,Summer,2006,LARCH,4.4,0,GOOD,70,38.1,050G,1,0,0,004B38916,70,7.176565853
004B,24/10/2006,1,1,NA,2,0,0,Autumn,2006,LARCH,6.1,0.25,FAIR,75,38.6,050G,1,0,0,004B39014,75,7.515266744
004B,12/12/2006,1,1,NA,2,0,0,Winter,2006,LARCH,7.8,0.25,GOOD,77.5,39.1,050G,1,0,0,004B39063,77.5,8.410049034
004E,04/06/2013,0,0,NA,2,0,0,Summer,2013,TOP_SETT,3.4,0,FAIR,63.5,37.9,NA,1,0,0,004E41429,63.5,8.242526837
004E,30/07/2013,0,0,NA,2,0,0,Summer,2013,WYCH_ELM,5.3,0,GOOD,75,38.4,NA,1,0,0,004E41485,75,6.529657991
004E,09/10/2013,0,0,NA,2,0,0,Autumn,2013,TOP_SETT,7.7,0,GOOD,82,38.1,NA,1,0,0,004E41556,82,6.599525828
004E,14/01/2014,0,0,NA,2,1,1,Winter,2014,TOP_SETT,11.1,0.25,GOOD,87,37.4,NA,1,1,1,004E41653,87,7.478432147
004E,03/06/2014,0,0,NA,2,1,1,Summer,2014,WYCH_ELM,10.3,0.25,GOOD,88,38.2,NA,1,1,1,004E41793,88,6.624306183
004F,11/05/2010,1,NA,NA,2,NA,4.066,Spring,2010,ARTHURS,8.1,0.25,NA,84,38.3,NA,NA,16.532,67.221,004F40309,84,6.294307393
004F,07/09/2010,1,NA,NA,2,NA,4.066,Autumn,2010,ARTHURS,9.9,0.25,GOOD,84,39,NA,NA,16.532,67.221,004F40428,84,7.693042369
004F,06/10/2010,NA,NA,NA,2,NA,4.066,Autumn,2010,NA,12,NA,VGOOD,NA,NA,NA,NA,16.532,67.221,004F40457,84,#VALUE!
004G,13/05/2003,0,0,NA,1,0,0,Spring,2003,HEDGE,2.6,NA,FAIR,57.5,36.3,H015,1,0,0,004G37754,57.5,9.437361635
004K,29/05/2012,1,NA,NA,2,NA,4.066,Spring,2012,JUNCTION,9.1,0.25,FAIR,85,37.6,NA,NA,16.532,67.221,004K41058,85,6.739121616
004K,18/07/2012,1,NA,NA,2,NA,4.066,Summer,2012,JUNCTION,8.5,0.5,FAIR,83,38.9,NA,NA,16.532,67.221,004K41108,83,6.934788196
004L,26/01/2011,0,NA,NA,1,NA,4.066,Winter,2011,INCHBROOK,7.6,0.25,GOOD,79,38.5,NA,NA,16.532,67.221,004L40569,79,7.579860567
004L,24/05/2011,0,NA,NA,1,NA,4.066,Spring,2011,INCHBROOK,6.1,0.25,GOOD,81,38.3,NA,NA,16.532,67.221,004L40687,81,5.495690326
004N,02/06/2009,0,0,NA,2,0,0,Summer,2009,JUNCTION,3.7,0,FAIR,66,37.3,NA,1,0,0,004N39966,66,7.666283694
004P,06/05/2008,0,NA,NA,1,NA,4.066,Spring,2008,JACKS_MIREY,9.7,0.25,GOOD,87,38.9,NA,NA,16.532,67.221,004P39574,87,6.535206471
004P,03/06/2009,0,NA,NA,1,NA,4.066,Summer,2009,JACKS_MIREY,8.8,0.5,GOOD,87,38.7,NA,NA,16.532,67.221,004P39967,87,5.928847107
004R,03/02/2004,0,NA,NA,1,NA,4.066,Winter,2004,PARK_MILL,7.3,NA,GOOD,77,38.2,NA,NA,16.532,67.221,004R38020,77,8.080867737
004R,22/06/2005,0,NA,NA,1,NA,4.066,Summer,2005,PARK_MILL,5.9,NA,GOOD,80,38.3,NA,NA,16.532,67.221,004R38525,80,5.590929863
004W,24/05/2005,0,0,NA,2,0,0,Spring,2005,JUNCTION,2.6,0,FAIR,58,36.2,I013,1,0,0,004W38496,58,9.11086165
004W,13/09/2005,0,0,NA,2,0,0,Autumn,2005,JUNCTION,4.1,0,FAIR,71,38.4,I013,1,0,0,004W38608,71,6.312423674
004W,13/12/2005,0,0,NA,2,0,0,Winter,2005,JUNCTION,8.5,0,VGOOD,82,37.6,I013,1,0,0,004W38699,82,7.285190849
004W,10/05/2006,0,0,NA,2,1,1,Spring,2006,JUNCTION,9.6,0.25,GOOD,86,38.3,I013,1,1,1,004W38847,86,6.779170681
004W,13/12/2006,0,0,NA,2,1,1,Winter,2006,JUNCTION,13.9,0.25,VGOOD,86.5,38.6,I013,1,1,1,004W39064,86.5,9.586978463
004W,08/05/2007,0,NA,0,2,2,2,Spring,2007,JUNCTION,9.1,0.5,FAIR,86.5,38.3,I013,2,4,8,004W39210,86.5,6.276367195
004W,31/07/2007,0,NA,0,2,2,2,Summer,2007,JUNCTION,9.6,0.25,GOOD,86,37.6,I013,2,4,8,004W39294,86,6.779170681
004Y,09/05/2007,0,0,NA,2,0,0,Spring,2007,HEDGE,2.8,0,GOOD,57,36,NA,1,0,0,004Y39211,57,10.5307663
005A,21/05/2014,0,0,NA,1,0,0,Spring,2014,ARTHURS,3,0,GOOD,64,38.5,NA,1,0,0,005A41780,64,7.044509258
005A,12/08/2014,0,0,NA,1,0,0,Summer,2014,ARTHURS,6,0,FAIR,80,39.6,NA,1,0,0,005A41863,80,5.685691386
005A,23/09/2014,1,1,NA,1,0,0,Autumn,2014,ARTHURS,7.2,0,GOOD,83,39,NA,1,0,0,005A41905,83,5.874173531
005B,09/05/2006,0,0,NA,2,0,0,Spring,2006,WEST,2.6,0,FAIR,57,37.4,NA,1,0,0,005B38846,57,9.778568708
005B,18/07/2006,0,0,NA,2,0,0,Summer,2006,WEST,4.4,0,GOOD,71.5,38.2,NA,1,0,0,005B38916,71.5,6.583716331
005B,24/10/2006,1,1,NA,2,0,0,Autumn,2006,WEST,8.8,0,GOOD,82.5,37.9,NA,1,0,0,005B39014,82.5,7.358145607
005B,12/12/2006,1,1,NA,2,0,0,Winter,2006,WEST,9.4,0,VGOOD,84,38.5,NA,1,0,0,005B39063,84,7.304504876
005B,08/05/2007,1,1,NA,2,1,1,Spring,2007,LARCH,8,0.25,POOR,88,37.5,NA,1,1,1,005B39210,88,5.145092181
005B,02/03/2008,2,NA,2,2,2,2,Spring,2008,NA,7.5,0,GOOD,NA,NA,NA,2,4,8,005B39509,NA,#VALUE!
005E,04/06/2013,0,0,NA,2,0,0,Summer,2013,TOP_SETT,3.1,0,FAIR,64,36.9,NA,1,0,0,005E41429,64,7.279326233
005E,30/07/2013,0,0,NA,2,0,0,Summer,2013,WYCH_ELM,5.2,0,FAIR,76,39.4,NA,1,0,0,005E41485,76,6.070511666
005E,08/10/2013,0,0,NA,2,0,0,Autumn,2013,TOP_SETT,7.3,0.25,GOOD,85,38.6,NA,1,0,0,005E41555,85,5.406108549
005F,11/05/2010,0,0,NA,2,0,0,Spring,2010,ARTHURS,3.3,0,GOOD,60,37.4,NA,1,0,0,005F40309,60,10.07455708
005G,14/05/2003,0,0,NA,2,0,0,Spring,2003,HEDGE,2.5,NA,FAIR,57.5,36.9,NA,1,0,0,005G37755,57.5,9.074386188
005K,29/05/2012,0,0,NA,2,0,0,Spring,2012,WEST,2.3,0,FAIR,57.5,35.6,053Y,1,0,0,005K41058,57.5,8.348435293
005L,24/05/2011,0,0,NA,1,0,0,Spring,2011,PARK_MILL,2.6,0,NA,60,37.6,NA,1,0,0,005L40687,60,7.937529818
