ind,date,tbstat,tbstat.yng,tbstat.ad,sex,age.known,age,season,year,socg,weight,toothwear,condition,body.length,temp,dam,young,age.sq,age.cb,unique ,body.length.est,smi
042G,04/05/2011,0,NA,0,1,8,8,Spring,2011,JUNCTION,7.3,0.5,FAIR,84,38.4,NA,2,64,512,042G40667,84,5.672647403
042K,17/07/2012,1,NA,NA,2,NA,4.066,Summer,2012,JUNCTION,11.3,0.25,VGOOD,84,37.8,NA,NA,16.532,67.221,042K41107,84,8.780947351
042N,14/10/2009,0,NA,NA,2,NA,4.066,Autumn,2009,HONEYWELL,14.3,0.25,VGOOD,90.5,39.1,NA,NA,16.532,67.221,042N40100,90.5,8.206631474
042P,23/07/2008,0,0,NA,1,0,0,Summer,2008,HEDGE,3.8,0,GOOD,67,NA,Q008,1,0,0,042P39652,67,7.406416298
042P,22/10/2008,1,1,NA,1,0,0,Autumn,2008,HEDGE,6.8,0.25,GOOD,78,38.3,Q008,1,0,0,042P39743,78,7.142580404
042P,10/12/2008,NA,NA,NA,1,0,0,Winter,2008,HEDGE,8.2,0.25,GOOD,80,37.9,Q008,1,0,0,042P39792,80,7.770444895
042R,09/06/2004,1,1,NA,2,0,0,Summer,2004,WOODRUSH,4.2,0,GOOD,68.5,38.1,X035,1,0,0,042R38147,68.5,7.481178381
042R,21/09/2004,1,1,NA,2,0,0,Autumn,2004,WOODRUSH,7.1,0,FAIR,80,38.6,X035,1,0,0,042R38251,80,6.728068141
042R,09/11/2004,1,1,NA,2,0,0,Autumn,2004,WOODRUSH,11.5,0.25,VGOOD,84,38.3,X035,1,0,0,042R38300,84,8.936362348
042R,07/06/2005,1,1,NA,2,1,1,Summer,2005,WOODRUSH,8.5,0.25,GOOD,85.5,38,X035,1,1,1,042R38510,85.5,6.14642157
042R,02/08/2005,1,1,NA,2,1,1,Summer,2005,WOODRUSH,9.8,0.25,VGOOD,86.5,38.8,X035,1,1,1,042R38566,86.5,6.759164672
042R,16/05/2006,0,NA,0,2,2,2,Spring,2006,COLLIERS_WOOD,10.3,0.25,VGOOD,86,38.1,X035,2,4,8,042R38853,86,7.27348521
042R,22/05/2007,0,NA,0,2,3,3,Spring,2007,COLLIERS_WOOD,10,0.5,GOOD,85,38.1,X035,2,9,27,042R39224,85,7.405628149
042R,05/08/2008,0,NA,0,2,4,4,Summer,2008,COLLIERS_WOOD,10.1,0.5,VGOOD,87,38.4,X035,2,16,64,042R39665,87,6.804699521
042W,07/06/2005,0,0,NA,2,0,0,Summer,2005,KENNEL,4.7,NA,GOOD,71,38.1,NA,1,0,0,042W38510,71,7.236192992
042W,02/08/2005,0,0,NA,2,0,0,Summer,2005,KENNEL,6.3,NA,VERY_GOOD,79,38.7,NA,1,0,0,042W38566,79,6.28330547
042W,27/09/2005,1,1,NA,2,0,0,Autumn,2005,KENNEL,9.2,NA,VERY_GOOD,83,39.1,NA,1,0,0,042W38622,83,7.505888401
042W,10/01/2006,0,0,NA,2,1,1,Winter,2006,KENNEL,10.6,0.25,VGOOD,84.5,38.2,NA,1,1,1,042W38727,84.5,8.040579716
